Age,BMI,Sex,Activity_intensity,Calories_need
<17,"<18,5",M,High,2170
17-29,"<18,5",M,High,2101
30-50,"<18,5",M,High,1957
>50,"<18,5",M,High,1787
<17,"<18,5",F,High,1887
17-29,"<18,5",F,High,1819
30-50,"<18,5",F,High,1674
>50,"<18,5",F,High,1503
<17,"<18,5",M,Medium,2051
17-29,"<18,5",M,Medium,1987
30-50,"<18,5",M,Medium,1850
>50,"<18,5",M,Medium,1689
<17,"<18,5",F,Medium,1784
17-29,"<18,5",F,Medium,1719
30-50,"<18,5",F,Medium,1582
>50,"<18,5",F,Medium,1421
<17,"<18,5",M,Low,1680
17-29,"<18,5",M,Low,1627
30-50,"<18,5",M,Low,1515
>50,"<18,5",M,Low,1383
<17,"<18,5",F,Low,1461
17-29,"<18,5",F,Low,1408
30-50,"<18,5",F,Low,1296
>50,"<18,5",F,Low,1164
<17,>35,M,High,2360
17-29,>35,M,High,2290
30-50,>35,M,High,2166
>50,>35,M,High,2011
<17,>35,F,High,2102
17-29,>35,F,High,2033
30-50,>35,F,High,1909
>50,>35,F,High,1754
<17,>35,M,Medium,2175
17-29,>35,M,Medium,2109
30-50,>35,M,Medium,1992
>50,>35,M,Medium,1846
<17,>35,F,Medium,1932
17-29,>35,F,Medium,1866
30-50,>35,F,Medium,1749
>50,>35,F,Medium,1603
<17,>35,M,Low,1601
17-29,>35,M,Low,1547
30-50,>35,M,Low,1451
>50,>35,M,Low,1331
<17,>35,F,Low,1402
17-29,>35,F,Low,1348
30-50,>35,F,Low,1252
>50,>35,F,Low,1132
<17,"18,5-24,9",M,High,2389
17-29,"18,5-24,9",M,High,2327
30-50,"18,5-24,9",M,High,2195
>50,"18,5-24,9",M,High,2040
<17,"18,5-24,9",F,High,2132
17-29,"18,5-24,9",F,High,2070
30-50,"18,5-24,9",F,High,1938
>50,"18,5-24,9",F,High,1783
<17,"18,5-24,9",M,Medium,2258
17-29,"18,5-24,9",M,Medium,2199
30-50,"18,5-24,9",M,Medium,2075
>50,"18,5-24,9",M,Medium,1928
<17,"18,5-24,9",F,Medium,2015
17-29,"18,5-24,9",F,Medium,1956
30-50,"18,5-24,9",F,Medium,1832
>50,"18,5-24,9",F,Medium,1685
<17,"18,5-24,9",M,Low,1850
17-29,"18,5-24,9",M,Low,1802
30-50,"18,5-24,9",M,Low,1700
>50,"18,5-24,9",M,Low,1580
<17,"18,5-24,9",F,Low,1650
17-29,"18,5-24,9",F,Low,1602
30-50,"18,5-24,9",F,Low,1500
>50,"18,5-24,9",F,Low,1380
<17,"25-29,9",M,High,2071
17-29,"25-29,9",M,High,2009
30-50,"25-29,9",M,High,1877
>50,"25-29,9",M,High,1722
<17,"25-29,9",F,High,1814
17-29,"25-29,9",F,High,1752
30-50,"25-29,9",F,High,1620
>50,"25-29,9",F,High,1465
<17,"25-29,9",M,Medium,1944
17-29,"25-29,9",M,Medium,1885
30-50,"25-29,9",M,Medium,1761
>50,"25-29,9",M,Medium,1614
<17,"25-29,9",F,Medium,1701
17-29,"25-29,9",F,Medium,1642
30-50,"25-29,9",F,Medium,1518
>50,"25-29,9",F,Medium,1371
<17,"25-29,9",M,Low,1797
17-29,"25-29,9",M,Low,1749
30-50,"25-29,9",M,Low,1647
>50,"25-29,9",M,Low,1527
<17,"25-29,9",F,Low,1598
17-29,"25-29,9",F,Low,1550
30-50,"25-29,9",F,Low,1448
>50,"25-29,9",F,Low,1328
<17,"30-34,9",M,High,2354
17-29,"30-34,9",M,High,2292
30-50,"30-34,9",M,High,2160
>50,"30-34,9",M,High,2005
<17,"30-34,9",F,High,2097
17-29,"30-34,9",F,High,2035
30-50,"30-34,9",F,High,1903
>50,"30-34,9",F,High,1748
<17,"30-34,9",M,Medium,2197
17-29,"30-34,9",M,Medium,2139
30-50,"30-34,9",M,Medium,2014
>50,"30-34,9",M,Medium,1868
<17,"30-34,9",F,Medium,1954
17-29,"30-34,9",F,Medium,1896
30-50,"30-34,9",F,Medium,1771
>50,"30-34,9",F,Medium,1625
<17,"30-34,9",M,Low,1704
17-29,"30-34,9",M,Low,1656
30-50,"30-34,9",M,Low,1560
>50,"30-34,9",M,Low,1440
<17,"30-34,9",F,Low,1510
17-29,"30-34,9",F,Low,1462
30-50,"30-34,9",F,Low,1360
>50,"30-34,9",F,Low,1240
